latitude;longitude;local;tipo;estado;fonte
41.225;-8.689804;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.154472;-8.602814;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147882;-8.608504;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147581;-8.671639;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.19545;-8.691593;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.170253;-8.657375;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.153077;-8.599787;Bolt;twoWheeledVehicle;onRoute;veiculos_porto
41.156362;-8.627767;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.151257;-8.590074;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.149423;-8.675953;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.146106;-8.596286;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.148476;-8.670026;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.16309;-8.623613;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.144985;-8.606383;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.163342;-8.586429;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.149049;-8.671495;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.156991;-8.681668;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.173659;-8.689288;Bolt;twoWheeledVehicle;onRoute;veiculos_porto
41.166516;-8.625104;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.183605;-8.678073;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.20062;-8.665688;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.149566;-8.622708;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147189;-8.592958;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.181747;-8.6906;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.153537;-8.605316;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147524;-8.667524;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.153465;-8.610249;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.148573;-8.66998;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.147489;-8.667507;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.170071;-8.632104;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.187241;-8.654425;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.153903;-8.679107;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.177249;-8.590338;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.153905;-8.608473;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.17259;-8.688412;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.178947;-8.600099;Bolt;bicycle;parked;veiculos_porto
41.161122;-8.672246;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.164308;-8.6139;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.163301;-8.663002;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.154313;-8.674017;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.154351;-8.643385;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.151181;-8.58996;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.172747;-8.611102;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.154199;-8.673972;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.166804;-8.68782;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.170021;-8.632137;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.222306;-8.632222;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.151426;-8.617996;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.146239;-8.604239;Bolt;twoWheeledVehicle;broken;veiculos_porto
41.164288;-8.686424;Bolt;twoWheeledVehicle;onRoute;veiculos_porto
41.16019;-8.644012;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.177244;-8.590396;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.172481;-8.688349;Bolt;twoWheeledVehicle;parked;veiculos_porto
41.1748886;-8.5884237;Circ;twoWheeledVehicle;parked;veiculos_porto
41.1796379;-8.6938085;Circ;twoWheeledVehicle;parked;veiculos_porto
41.172668;-8.688359;Circ;bicycle;parked;veiculos_porto
41.1497125;-8.611009;Circ;twoWheeledVehicle;parked;veiculos_porto
41.142131;-8.615342;Circ;bicycle;parked;veiculos_porto
41.1452578;-8.6157652;Circ;twoWheeledVehicle;parked;veiculos_porto
41.172694;-8.688424;Circ;bicycle;parked;veiculos_porto
41.154221;-8.673975;Circ;bicycle;parked;veiculos_porto
41.1616821;-8.611764;Circ;twoWheeledVehicle;parked;veiculos_porto
41.153618;-8.640774;Circ;bicycle;parked;veiculos_porto
41.176182;-8.690885;Circ;bicycle;parked;veiculos_porto
41.166776;-8.68777;Circ;bicycle;parked;veiculos_porto
41.1726379;-8.6112709;Circ;twoWheeledVehicle;parked;veiculos_porto
41.176219;-8.690848;Circ;bicycle;parked;veiculos_porto
41.158732;-8.631395;Circ;bicycle;parked;veiculos_porto
41.177334;-8.691752;Circ;bicycle;parked;veiculos_porto
41.1491089;-8.594202;Circ;twoWheeledVehicle;parked;veiculos_porto
41.163392;-8.616049;Circ;bicycle;parked;veiculos_porto
41.1596184;-8.6663952;Circ;twoWheeledVehicle;parked;veiculos_porto
41.1624402;-8.6076822;Circ;twoWheeledVehicle;parked;veiculos_porto
41.159292;-8.66018;Circ;bicycle;parked;veiculos_porto
41.165634;-8.603602;Circ;bicycle;parked;veiculos_porto
41.1765908;-8.6513592;Circ;twoWheeledVehicle;broken;veiculos_porto
41.141047;-8.617441;Circ;bicycle;parked;veiculos_porto
41.165567;-8.603726;Circ;bicycle;parked;veiculos_porto
41.166655;-8.625085;Circ;bicycle;parked;veiculos_porto
41.177803;-8.655948;Circ;bicycle;parked;veiculos_porto
41.1604118;-8.6435079;Circ;twoWheeledVehicle;parked;veiculos_porto
41.162796;-8.611202;Circ;bicycle;parked;veiculos_porto
41.17265;-8.688387;Circ;bicycle;parked;veiculos_porto
41.172679;-8.688376;Circ;bicycle;parked;veiculos_porto
41.162254;-8.606525;Circ;bicycle;parked;veiculos_porto
41.16175;-8.60359;Circ;bicycle;parked;veiculos_porto
41.17268;-8.688516;Circ;bicycle;parked;veiculos_porto
41.165726;-8.67186;Circ;bicycle;parked;veiculos_porto
41.1611537;-8.6290665;Circ;twoWheeledVehicle;parked;veiculos_porto
41.166604;-8.625053;Circ;bicycle;parked;veiculos_porto
41.148124;-8.674778;Circ;bicycle;parked;veiculos_porto
41.16571;-8.67194;Circ;bicycle;broken;veiculos_porto
41.16223;-8.606521;Circ;bicycle;parked;veiculos_porto
41.172648;-8.688388;Circ;bicycle;parked;veiculos_porto
41.1625807;-8.6579082;Circ;twoWheeledVehicle;parked;veiculos_porto
41.162829;-8.611224;Circ;bicycle;parked;veiculos_porto
41.1454163;-8.6264747;Circ;twoWheeledVehicle;parked;veiculos_porto
41.166637;-8.625093;Circ;bicycle;parked;veiculos_porto
41.1493887;-8.6256363;Circ;twoWheeledVehicle;parked;veiculos_porto
41.15931;-8.660208;Circ;bicycle;parked;veiculos_porto
41.165569;-8.673031;Circ;bicycle;broken;veiculos_porto
41.15772;-8.660443;Circ;bicycle;parked;veiculos_porto
41.172668;-8.688382;Circ;bicycle;parked;veiculos_porto
41.154234;-8.673975;Circ;bicycle;parked;veiculos_porto
41.1479416;-8.6146727;Circ;twoWheeledVehicle;parked;veiculos_porto
41.179814;-8.693845;Circ;bicycle;parked;veiculos_porto
41.172618;-8.688359;Circ;bicycle;parked;veiculos_porto
41.172664;-8.688427;Circ;bicycle;parked;veiculos_porto
41.1632655;-8.6162182;Circ;twoWheeledVehicle;parked;veiculos_porto
41.147682;-8.671656;Circ;bicycle;parked;veiculos_porto
41.158506;-8.598402;Circ;bicycle;parked;veiculos_porto
41.162677;-8.611432;Circ;bicycle;parked;veiculos_porto
41.1494332;-8.675949;Circ;twoWheeledVehicle;parked;veiculos_porto
41.144889;-8.606238;Circ;bicycle;parked;veiculos_porto
41.1634445;-8.6630659;Circ;twoWheeledVehicle;broken;veiculos_porto
41.14738;-8.660726;Circ;bicycle;parked;veiculos_porto
41.1595213;-8.666155;Circ;twoWheeledVehicle;parked;veiculos_porto
41.177372;-8.691718;Circ;bicycle;parked;veiculos_porto
41.172669;-8.688448;Circ;bicycle;parked;veiculos_porto
41.147669;-8.671661;Circ;bicycle;parked;veiculos_porto
41.14398;-8.622025;Circ;bicycle;parked;veiculos_porto
41.159334;-8.660178;Circ;bicycle;parked;veiculos_porto
41.157674;-8.660453;Circ;bicycle;parked;veiculos_porto
41.165738;-8.671932;Circ;bicycle;parked;veiculos_porto
41.1599884;-8.6098871;Circ;twoWheeledVehicle;parked;veiculos_porto
41.154428;-8.673958;Circ;bicycle;parked;veiculos_porto
41.1569663;-8.6115042;Circ;twoWheeledVehicle;parked;veiculos_porto
41.172568;-8.688378;Circ;bicycle;parked;veiculos_porto
41.141217;-8.614086;Circ;bicycle;parked;veiculos_porto
41.148531;-8.6271407;Bird;twoWheeledVehicle;parked;veiculos_porto
41.143912;-8.5760792;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1542549;-8.6740227;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1476055;-8.6244375;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1537138;-8.6563882;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1595573;-8.6833773;Bird;twoWheeledVehicle;parked;veiculos_porto
41.153511;-8.609685;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1633258;-8.6161258;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1501543;-8.6622272;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1750488;-8.6459827;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1416687;-8.6061962;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1611952;-8.6287865;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1476225;-8.6718677;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1497398;-8.6063853;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1437463;-8.6128957;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1601601;-8.6439858;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1745392;-8.6171222;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1720581;-8.6524944;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1494912;-8.675803;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1492662;-8.6308508;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1561033;-8.6638685;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1655121;-8.6360664;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1517296;-8.6068048;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1479242;-8.6148142;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1538429;-8.671318;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1544448;-8.6610328;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1491815;-8.609702;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1475338;-8.6673;Bird;twoWheeledVehicle;parked;veiculos_porto
41.164257;-8.6624546;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1539785;-8.6715178;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1488915;-8.5947895;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1571983;-8.6674858;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1477238;-8.6322425;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1468657;-8.6064942;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1537147;-8.6102713;Bird;twoWheeledVehicle;onRoute;veiculos_porto
41.1494102;-8.6225872;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1667595;-8.6878252;Bird;twoWheeledVehicle;parked;veiculos_porto
41.166642;-8.6803255;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1643219;-8.6864767;Bird;twoWheeledVehicle;parked;veiculos_porto
41.144001;-8.6219835;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1501543;-8.6001165;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1489754;-8.6315069;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1583597;-8.6278952;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1475997;-8.666159;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1749992;-8.6459265;Bird;twoWheeledVehicle;parked;veiculos_porto
41.147327;-8.660745;Bird;bicycle;broken;veiculos_porto
41.1469102;-8.6063758;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1461658;-8.6072452;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1535898;-8.6084698;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1522127;-8.6099195;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1498375;-8.6109476;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1568642;-8.6284266;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1476707;-8.6716356;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1463987;-8.6153697;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1482112;-8.5860607;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1666918;-8.6252078;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1479187;-8.6147079;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1452599;-8.6158686;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1599643;-8.5895357;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1437328;-8.6107922;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1471862;-8.6567953;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1669228;-8.6782792;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1666145;-8.6803484;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1476135;-8.6716347;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1743415;-8.6344193;Bird;twoWheeledVehicle;parked;veiculos_porto
41.147686;-8.6716394;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1474997;-8.6675642;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1542587;-8.6739569;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1711235;-8.6192246;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1523285;-8.6099415;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1610298;-8.6284827;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1501923;-8.600255;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1743163;-8.6344178;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1458322;-8.600559;Bird;twoWheeledVehicle;parked;veiculos_porto
41.145052;-8.6064095;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1667693;-8.6878377;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1472058;-8.6567282;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1616898;-8.6036673;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1460686;-8.5960998;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1443608;-8.6121677;Bird;twoWheeledVehicle;parked;veiculos_porto
41.15168;-8.6066132;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1712036;-8.6192198;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1473003;-8.6607135;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1481934;-8.6081419;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1491089;-8.6115208;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1472607;-8.6673688;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1478691;-8.614809;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1435699;-8.6113281;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1473808;-8.6606484;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1475085;-8.6717648;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1408977;-8.6174048;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1545487;-8.6628151;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1570887;-8.6295508;Bird;twoWheeledVehicle;parked;veiculos_porto
41.161565;-8.6036867;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1497993;-8.6110868;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1704292;-8.6839991;Bird;twoWheeledVehicle;parked;veiculos_porto
41.172654;-8.688366;Bird;bicycle;parked;veiculos_porto
41.1712598;-8.6367857;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1753538;-8.6347113;Bird;twoWheeledVehicle;parked;veiculos_porto
41.152298;-8.6099224;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1440468;-8.6220656;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1555303;-8.6294088;Bird;twoWheeledVehicle;parked;veiculos_porto
41.140713;-8.6131645;Bird;twoWheeledVehicle;broken;veiculos_porto
41.156054;-8.6637522;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1475747;-8.6662037;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1655082;-8.5884977;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1694417;-8.6596843;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1709099;-8.6480884;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1452866;-8.6158352;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1627318;-8.6111765;Bird;twoWheeledVehicle;parked;veiculos_porto
