latitude;longitude;local;fonte;descricao;categoria
41.14607872;-8.61763447;Autna;poi_portodigital;If you want to travel to or from Porto by bus, Autna brings you the best option. We offer a professional, comfortable and reliable service, as well as cheap bus tickets to Porto. Regardless of your itinerary and timetable, there is an Autna bus for you.;
41.23447601;-8.60834062;A. Nogueira da Costa;poi_portodigital;Departures nex to to Campo Mártires da Pátria  Cordoaria Garden  to destinations in the Porto metropolitan area.;
41.16282473;-8.66194725;Oceanus Parking ;poi_portodigital;Oceanus Shopping Centre private car park in Avenida da Boavista, with 300 parking spots. 45 min fraction up to 0,80€, according to the parking length of time.;
41.149345153;-8.599378695;Internorte;poi_portodigital;Departures from Interface Casa da Música to international destinations  Agents Internorte and Eurolines .;
41.1440492;-8.6049493;Auto Viação Souto;poi_portodigital;Departures next to Praça da Batalha to destinations in the south of Porto.;
41.15444244;-8.6087553;Auto Viação Pacense;poi_portodigital;Departures next to the Porto City Hall to destinations in Porto’s Metropolitan Area and to the Northern area.;
41.154397;-8.6092381;Arriva;poi_portodigital;Departures close to Rua Gonçalo Cristóvão to destinations in Porto’s Metropolitan Area and Northern area.;
41.14894854;-8.59895416;Gondomarense  ETG ;poi_portodigital;Departures from Campo 24 de Agosto to destinations in Gondomar and Northern area;
41.15439168;-8.60893607;Auto Viação Landim;poi_portodigital;Departures next to Rua Gonçalo Cristóvão to destinations in the Northern area.;
41.14941534;-8.62192869;Garagem Miguel Bombarda Parking;poi_portodigital;Private car park located in the art galleries area. 15 min fraction - 0,35€.;
41.1441907;-8.607483;J. Espiríto Santo & Irmãos, lda.;poi_portodigital;Departures from Praça da Batalha to destinations in Vila Nova de Gaia.;
41.15245289;-8.63351583;Campo Alegre Parking;poi_portodigital;"Uncovered municipal car park located next to the Faculdade de Letras  Faculty of Arts .
It accepts passenger buses.
0,65€/15min";
41.1499781;-8.59892769;Transdev;poi_portodigital;Departures next to Rua Gonçalo Cristóvão, to destinations in the Northern Area.;
41.144062931;-8.60698879;Auto Viação do Tâmega;poi_portodigital;Departures next to Praça da Batalha to several destinations in Portugal.;
41.15033631;-8.62679958;Mota-Galiza Parking ;poi_portodigital;Surface and underground car park, located in the building Mota-Galiza, near Praça da Galiza. 15 min fraction until 0,40€, according to the parking length of time.;
41.14987583;-8.599078953;Rede Expressos;poi_portodigital;Departures from Praça da Batalha to several national destinations.;
41.15560339;-8.62742186;Júlio Dinis Parking ;poi_portodigital;Private car park located near the Bom Sucesso area and  the Praça Mouzinho de Albuquerque  known as Rotunda da Boavista . 15 min fraction until 0,40€, according to the parking length of time.;
41.14745823;-8.624779876;Palácio de Cristal;poi_portodigital;Underground car park, located near the garden of Palácio de Cristal;
41.173659095;-8.603367347;Santos, Viagens e Turismo;poi_portodigital;Departure next to Rua Passos Manuel to destinations in the North of Portugal.;
41.18704959;-8.69144753;Maré;poi_portodigital;Departures from Rua da Restauração to several destinations in Porto’s Metropolitan Area, mainly to Matosinhos.;
41.1436686;-8.6035322;Sequeira Lucas e Ventura;poi_portodigital;Departures next to Praça da Batalha to several destinations, mainly to Vila Nova de Gaia.;
41.173703709;-8.603367803;Rodonorte;poi_portodigital;Departures next to Rua Passos Manuel, downtown, to several destinations in the north of Portugal.;
41.15626578;-8.62971783;Península Parking   ;poi_portodigital;Private car park located in the shopping centre Península, next to Praça Mouzinho de Albuquerque  known as Rotunda da Boavista . 15 min fraction up to 0,55€, according to the parking length of time.;
41.15524795;-8.62928867;Shopping Cidade do Porto Parking ;poi_portodigital;Private car park located in the Shopping Centre Cidade do Porto, next to Praça Mouzinho de Albuquerque   known as Rotunda da Boavista . 0,30€/15 min;
41.143167625;-8.577425478;Freixo Marina;poi_portodigital;"The Freixo Marina is managed by Sport Club do Porto.
It has a winch for up to 10 tons, ramp access to the water, space for 76 vessels up to 16m in length, mooring of vessels up to 100m, showers with hot water, as well as a coffee shop and restaurant open to the public and technical support for all types of vessels.";
41.16201701;-8.62780809;Capitólio Parking ;poi_portodigital;Private car park located in the vicinity of the metro station of Casa da Música. 15 min fraction until 0,50€, according to the parking length of time.;
41.186631758;-8.706235885;Marina Porto Atlântico;poi_portodigital;"Created in 1992 by the Club Naval de Leça, and Clube de Vela Atlântico and Sport Club do Porto.

This association of clubs manages the area of the Port of Leixões and is dedicated to recreational boating.

In addition to the simple docking area, a series of complementary services are available to recreational vessels  motor or sail , such as a crane, electricity, drinking water, security, minor repairs and bathroom facilities among others.
";
41.18974024;-8.68461728;Port of Leixões;poi_portodigital;"Placed amidst an attractive tourist destination, Porto, Leixões has increased its cruises’ operation.  Following the open of the new Cruise Quay, in April 2011, the Port of Leixões started to have two docking berths for cruises and to receive larger ships  up to 300m . In 2012, the number of passengers increased 81% and the number of ships 25%.  75.613 passengers have visited Porto. In 2013 the Port of Leixões expects around 70 cruise calls corresponding to more than 66.000 passengers and 30.000 crew members visiting the region.

The building is open for visits on Sunday  from 9:30am to 12pm, and from 2:30pm to 5pm.";
41.066916612;-8.575723617;União de Transportes dos Carvalhos;poi_portodigital;Departures from Rua Alexandre Herculano, to Porto’ Metropolitan Area, mainly to Vila Nova de Gaia.;
41.15928686;-8.63066196;Casa da Música Parking;poi_portodigital;Underground car park located under the building of Casa da Música, by the Praça Mouzinho de Albuquerque  known as Rotunda da Boavista – Boavista Roundabout . 15 min fraction until 0,55€, according to the parking length of time.;
41.14119063;-8.61834526;Alfândega Parking;poi_portodigital;Uncovered municipal car park located near the river, next to the historical centre and in the vicinity of the Church of São Francisco and the Transports and Communications Museum. 0,25€/15 min;
41.145606;-8.610704; C.P. São Bento  Rua do Loureiro  Parking;poi_portodigital;"Surface car park located next to the São Bento railway and metro stations. 15 min fraction until 0,40€, according to the parking length of time.
";
41.1487044;-8.61886024;Jardim do Carregal Parking;poi_portodigital;Private car park located in Jardim do Carregal, next to the Santo António Hospital.;
41.144511;-8.617541;Palácio da Justiça Parking;poi_portodigital;Underground car park, located next to Campo Mártires da Pátria  known as Jardim da Cordoaria .;
41.14983543;-8.61135006;Valpi;poi_portodigital;Departures next to the City Hall, to destinations in the Northern area, mainly to Valongo, Paredes and Penafiel.;
41.14099672;-8.61501932;Ribeira Parking;poi_portodigital;Located right in the historical centre, next to the Palácio da Bolsa. 2,40€/hour;
41.14351757;-8.61257315;Viela do Anjo Parking ;poi_portodigital;Free municipal car park, for residents only, located next to Rua Mousinho da Silveira. 15 min fraction up to 0,90€, according to the parking length of time.;
41.16536424;-8.58864675;STCP;poi_portodigital;"STCP defined its mission as providing an urban passenger public transport service in the Porto Metropolitan Area, coordinated in conjunction with other road, rail and light rail operators, contributing to the effective movement of people, providing a competitive alternative to private individual transportation. 

The STCP bus routes and underground lines cover the entire city and surrounding municipalities.

The STCP also explores the three tram way lines existing in Porto.";
41.1484782;-8.61986876;Carregal Parking;poi_portodigital;Private car park located next to Jardim do Carregal and to the Santo António Hospital. Parque de Garagem D. Manuel Lda. has the concession, with entrance on Rua Miguel Bombarda, 275. ;
41.16524782;-8.58871222;Metro do Porto;poi_portodigital;"The Porto subway has 6 lines, a network of 67 kilometres, 80 stations  14 of which are underground , 102 vehicles, 44 lifts and 28 cars parks spread out across the network.

It services the municipalities of Póvoa de Varzim, Vila do Conde, Maia, Matosinhos, Porto, Vila Nova de Gaia e Gondomar and in 2010, 54 million ticket validations were registered. 

If you have any queries, contact Linha Olá Metro: 808 205 060.

Responsible for the Guindais Cableway, it was built in 1891 and was fully recovered after being inactive for more than a century.

From Batalha to Ribeira, or vice-versa, in only 2 minutes, with the privilege of enjoying the superb view over the Douro river and the D. Luís I Bridge.";
41.1534546;-8.61087799;Mapfre Parking;poi_portodigital;Private car park located in the vicinity of Praça da República and of the metro station Trindade. 15 min fraction up to 0,60€, according to the parking length of time.;
41.1691984;-8.57465502;Contumil Railway Station;poi_portodigital;"Contumil train station is located in the Northeast part of the city of Porto and belongs to the municipality of Campanhã. 
It has tile panels dating from 1993/1994, painted by Eduardo Nery.
It has ticket vending machines.";
41.23551076;-8.6710453;Air Berlin;poi_portodigital;"Company of German origin, it has an information and sales desk located in Francisco Sá Carneiro Airport.  
At this desk you can address issues related to business class, check-in, gourmet meals, luggage, travel assistance, on-board services, care for families, the  Flying without barriers  programme for passengers with limited mobility, extras for the flight, among others.  
Flying from Porto it has about 40 routes to European destinations.";
41.14562225;-8.61025572;São Bento Railway Station;poi_portodigital;"Located in the centre of the city and built in the early 20th century, it has a glass and cast iron roof designed by the architect Marques da Silva. The lobby is covered with twenty thousand narrative tiles by the painter Jorge Colaço. It has the following connections to bus services, connections to the subway, taxis, parking, Customer Service Desk, ticket office, ticket vending machines, toilets, public telephones, waiting room, lockers, ATM, bar.
";
41.1691948;-8.6036704;Radiotáxis ;poi_portodigital;"Raditáxis-Cooperativa belonging to Rádio-Táxis do Porto CRL offers a door-to-door service and private transfers which stand out thanks to their speed and punctuality. 
The switchboard manages more than 20 fixed and mobile lines and is available 24 hours a day, with more than 450 associates.
Highly experienced taxi drivers in the transportation of passengers and urgent services.
";
41.163596767;-8.612692367;Táxis Invicta ;poi_portodigital;Táxis Invicta is a radio taxi switchboard in Porto with decades  worth of experience and offers pre-booked services. Our drivers have knowledge of foreign languages and we have partnerships with tourist guides that use our services. The high quality of our service is our flag and the reason why we are known and recommended.;
